CMA	Income_years
Saint John	0.220226321
Moncton	0.273449694
Thunder Bay	0.625301857
St. John's	0.700629256
Windsor	0.743229988
Regina	0.807950745
Edmonton	0.853672436
Greater Sudbury	0.857102777
Trois-Rivières	0.870024336
Winnipeg	1.159118244
Saskatoon	1.185504215
London	1.27096158
Halifax	1.30545232
Kingston	1.335299429
Calgary	1.478041026
Brantford	1.506875076
Kelowna	1.630658301
Kitchener-Cambridge-Waterloo	1.654514767
St. Catharines-Niagara	1.894305623
Ottawa-Gatineau	1.910646156
Quebec City	2.047632843
Guelph	2.09101363
Sherbrooke	2.119899388
Montreal	2.488205009
Hamilton	2.746556586
Victoria	3.272453006
Toronto	4.059087968
Abbotsford-Mission	4.482238381
Vancouver	7.953715827
